pr_number,title,author,github_author,topic,deadline_at,deadline_type,first_signal_at,first_commit_at,last_commit_at,first_signal_source,hours_before_deadline,within_24h,within_72h,commit_count,churn,additions,deletions,changed_files
139,feat: 添加任务清理与回收工作流，优化逾期任务检测逻辑,Vanish,Vanish,Other,2026-03-17T14:50:13+08:00,merged_at,2026-03-17T14:50:13+08:00,2026-03-17T14:50:13+08:00,2026-03-17T14:50:13+08:00,linked_commit,0.0,True,True,1,300,226,74,3
138,Oris/3.4 project,OriSYX,OriSYX,Other,2026-03-17T00:01:58+08:00,merged_at,2026-03-17T00:01:58+08:00,2026-03-17T00:01:58+08:00,2026-03-17T00:01:58+08:00,linked_commit,0.0,True,True,1,16368,16258,110,554
136,chore: 移除不再使用的com.boxqkrtm.ide.cursor依赖,Vanish,Vanish,Other,2026-03-16T19:21:26+08:00,merged_at,2026-03-16T19:21:26+08:00,2026-03-16T19:21:26+08:00,2026-03-16T19:21:26+08:00,linked_commit,0.0,True,True,1,10,0,10,2
135,fix: 更新Crt材质和场景文件的LFS引用,Vanish,Vanish,Bug/Fix,2026-03-16T19:14:06+08:00,merged_at,2026-03-16T19:14:06+08:00,2026-03-16T19:14:06+08:00,2026-03-16T19:14:06+08:00,linked_commit,0.0,True,True,1,12,7,5,3
134,feat: 添加CRT效果材质和着色器，更新渲染设置,Vanish,Vanish,Other,2026-03-16T18:50:30+08:00,merged_at,2026-03-16T18:50:30+08:00,2026-03-16T18:50:30+08:00,2026-03-16T18:50:30+08:00,linked_commit,0.0,True,True,1,251,244,7,7
131,Oris/new movement1,Vanish,Vanish,Gameplay,2026-03-04T01:06:28+08:00,merged_at,2026-03-04T01:06:28+08:00,2026-03-04T01:06:28+08:00,2026-03-04T01:06:28+08:00,linked_commit,0.0,True,True,1,3779,3754,25,89
123,bugfix: 修复aciton,Vanish,Vanish,Bug/Fix,2025-12-18T21:31:56+08:00,merged_at,2025-12-18T21:31:56+08:00,2025-12-18T21:31:56+08:00,2025-12-18T21:31:56+08:00,linked_commit,0.0,True,True,1,90,58,32,1
120,Develop,Vanish,Vanish,Other,2025-12-18T21:22:02+08:00,merged_at,2025-12-18T21:22:02+08:00,2025-12-18T21:22:02+08:00,2025-12-18T21:22:02+08:00,linked_commit,0.0,True,True,1,705761,512220,193541,2442
118,Render Pipeline,Vanish,Vanish,Rendering,2026-03-15T09:29:28+08:00,merged_at,2026-03-15T09:29:28+08:00,2026-03-15T09:29:28+08:00,2026-03-15T09:29:28+08:00,linked_commit,0.0,True,True,1,6926,4547,2379,166
110,Develop,Vanish,Vanish,Other,2025-12-07T20:27:50+08:00,merged_at,2025-12-07T20:27:50+08:00,2025-12-07T20:27:50+08:00,2025-12-07T20:27:50+08:00,linked_commit,0.0,True,True,1,381,10,371,2
93,Develop,Vanish,Vanish,Other,2025-11-15T00:19:28+08:00,merged_at,2025-11-15T00:19:28+08:00,2025-11-15T00:19:28+08:00,2025-11-15T00:19:28+08:00,linked_commit,0.0,True,True,1,37422,7398,30024,925
74,[MILESTONE] 终于可以开始开发了,Vanish,Vanish,Other,2025-10-30T16:22:34+08:00,merged_at,2025-10-30T16:22:34+08:00,2025-10-30T16:22:34+08:00,2025-10-30T16:22:34+08:00,linked_commit,0.0,True,True,1,275719,265288,10431,3340
64,"Revert ""[SKIP CICD]Update README.md""",Vanish,Vanish,Docs/Stats,2025-08-17T22:01:09+08:00,merged_at,2025-08-17T22:01:09+08:00,2025-08-17T22:01:09+08:00,2025-08-17T22:01:09+08:00,linked_commit,0.0,True,True,1,4,1,3,1
57,Develop [ADD BUILD][ADD DEPLOY],Vanish,Vanish,Build/CI,2025-08-16T23:52:13+08:00,merged_at,2025-08-16T23:52:13+08:00,2025-08-16T23:52:13+08:00,2025-08-16T23:52:13+08:00,linked_commit,0.0,True,True,1,45515,32884,12631,464
55,Update and refactor CodeUnfucker Bridge,Vanish,Vanish,Refactor,2025-07-10T20:39:53+08:00,merged_at,2025-07-10T20:39:53+08:00,2025-07-10T20:39:53+08:00,2025-07-10T20:39:53+08:00,linked_commit,0.0,True,True,1,992,744,248,7
54,Add In Game Console [SKIP CI],Vanish,Vanish,Build/CI,2025-07-09T23:00:00+08:00,merged_at,2025-07-09T23:00:00+08:00,2025-07-09T23:00:00+08:00,2025-07-09T23:00:00+08:00,linked_commit,0.0,True,True,1,9406,6856,2550,85
53,Upgrade CodeUnfucker [SKIP CI],Vanish,Vanish,Build/CI,2025-07-09T21:35:42+08:00,merged_at,2025-07-09T21:35:42+08:00,2025-07-09T21:35:42+08:00,2025-07-09T21:35:42+08:00,linked_commit,0.0,True,True,1,23082,22749,333,197
52,Integrate roslyn-lint configuration into pipeline,Vanish,Vanish,Data/Save,2025-07-09T21:49:07+08:00,merged_at,2025-07-09T21:49:07+08:00,2025-07-09T21:49:07+08:00,2025-07-09T21:49:07+08:00,linked_commit,0.0,True,True,1,541,532,9,4
50,Vanish/fp rop core [SKIP CI],Vanish,Vanish,Build/CI,2025-07-09T19:30:45+08:00,merged_at,2025-07-09T19:30:45+08:00,2025-07-09T19:30:45+08:00,2025-07-09T19:30:45+08:00,linked_commit,0.0,True,True,1,641,641,0,10
46,环境配置脚本 [SKIP CI],Vanish,消失,Build/CI,2025-07-08T21:13:44+08:00,merged_at,2025-07-08T21:13:44+08:00,2025-07-08T21:13:44+08:00,2025-07-08T21:13:44+08:00,linked_commit,0.0,True,True,1,301,301,0,3
45,Automation Pipeline,Vanish,消失,Build/CI,2025-07-08T21:03:04+08:00,merged_at,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,linked_commit,0.0,True,True,1,17305,15534,1771,200
42,Vanish/automation pipeline,Vanish,消失,Build/CI,2025-07-08T20:38:00+08:00,merged_at,2025-07-08T20:38:00+08:00,2025-07-08T20:38:00+08:00,2025-07-08T20:38:00+08:00,linked_commit,0.0,True,True,1,1,0,1,1
41,Vanish/sample odin editor,Vanish,消失,Other,2025-07-05T17:04:55+08:00,merged_at,2025-07-05T17:04:55+08:00,2025-07-05T17:04:55+08:00,2025-07-05T17:04:55+08:00,linked_commit,0.0,True,True,1,1,1,0,1
40,feat: import ase,Vanish,消失,Other,2025-07-05T16:04:21+08:00,merged_at,2025-07-05T16:04:21+08:00,2025-07-05T16:04:21+08:00,2025-07-05T16:04:21+08:00,linked_commit,0.0,True,True,1,190264,190255,9,1905
38,[Automation] feat: ci-pipeline (#38),Vanish,消失,Build/CI,2025-07-05T15:45:50+08:00,merged_at,2025-07-05T15:45:50+08:00,2025-07-05T15:45:50+08:00,2025-07-05T15:45:50+08:00,linked_commit,0.0,True,True,1,145,145,0,1
21,Develop,Vanish,消失,Other,2025-06-30T21:16:33+08:00,merged_at,2025-06-30T21:16:33+08:00,2025-06-30T21:16:33+08:00,2025-06-30T21:16:33+08:00,linked_commit,0.0,True,True,1,331,330,1,2
18,Develop,Vanish,消失,Other,2025-06-30T19:23:20+08:00,merged_at,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,linked_commit,0.0,True,True,1,780,748,32,27
13,feat: update default build targets for step 2 in CI/CD workflow,Vanish,消失,Build/CI,2025-06-18T00:03:26+08:00,merged_at,2025-06-18T00:03:26+08:00,2025-06-18T00:03:26+08:00,2025-06-18T00:03:26+08:00,linked_commit,0.0,True,True,1,6,3,3,1
12,feat: Add demo scenes and unit tests for ThirdPersonController,Vanish,消失,Tests,2025-06-18T00:34:53+08:00,merged_at,2025-06-18T00:34:53+08:00,2025-06-18T00:34:53+08:00,2025-06-18T00:34:53+08:00,linked_commit,0.0,True,True,1,590,509,81,25
9,Develop,Vanish,消失,Other,2025-06-17T22:35:27+08:00,merged_at,2025-06-17T22:35:27+08:00,2025-06-17T22:35:27+08:00,2025-06-17T22:35:27+08:00,linked_commit,0.0,True,True,1,2724,1130,1594,76
7,Develop,Vanish,消失,Other,2025-06-17T21:14:20+08:00,merged_at,2025-06-17T21:14:20+08:00,2025-06-17T21:14:20+08:00,2025-06-17T21:14:20+08:00,linked_commit,0.0,True,True,1,0,0,0,0
5,Vanish/feature import odin,Vanish,消失,Other,2025-06-17T21:01:08+08:00,merged_at,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,linked_commit,0.0,True,True,1,49615,49615,0,129
4,Develop,Vanish,消失,Other,2025-06-17T00:30:24+08:00,merged_at,2025-06-17T00:30:24+08:00,2025-06-17T00:30:24+08:00,2025-06-17T00:30:24+08:00,linked_commit,0.0,True,True,1,21,1,20,3
3,feat: update default values and descriptions for deployment and build targets in CI/CD pipeline,Vanish,消失,Build/CI,2025-06-17T00:11:15+08:00,merged_at,2025-06-17T00:11:15+08:00,2025-06-17T00:11:15+08:00,2025-06-17T00:11:15+08:00,linked_commit,0.0,True,True,1,12,10,2,1
1,Add ConsolePro plugin and remove tutorial assets,Vanish,消失,Assets/Art,2025-06-16T23:40:10+08:00,merged_at,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,linked_commit,0.0,True,True,1,1349,194,1155,24
199,"Revert ""update (#199)""",Vanish,Vanish,Other,2026-03-24T18:38:48+08:00,merged_at,2026-03-24T18:37:53+08:00,2026-03-24T18:37:53+08:00,2026-03-24T18:38:48+08:00,linked_commit,0.02,True,True,2,1540,769,1,3
227,"Revert ""update ldtk (#227)""",Vanish,Vanish,Level/LDtk,2026-03-27T01:30:03+08:00,merged_at,2026-03-27T01:27:56+08:00,2026-03-27T01:27:56+08:00,2026-03-27T01:30:03+08:00,linked_commit,0.04,True,True,2,14260,552,6578,1
225,"Revert ""update scene (#225)""",Vanish,Vanish,Level/LDtk,2026-03-27T01:25:08+08:00,merged_at,2026-03-27T01:22:13+08:00,2026-03-27T01:22:13+08:00,2026-03-27T01:25:08+08:00,linked_commit,0.05,True,True,2,14626,595,6718,11
229,"Revert ""final after lfs installed (#229)""",Vanish,Vanish,Other,2026-03-27T01:37:28+08:00,merged_at,2026-03-27T01:33:10+08:00,2026-03-27T01:33:10+08:00,2026-03-27T01:37:28+08:00,linked_commit,0.07,True,True,2,14626,595,6718,11
221,"Revert ""1 (#221)""",likoko,Vanish,Other,2026-03-27T01:05:38+08:00,merged_at,2026-03-26T21:12:01+08:00,2026-03-26T21:12:01+08:00,2026-03-27T01:05:38+08:00,linked_commit,3.89,True,True,2,691042,160732,184789,47
