path,field,rule
Assets/Core/Common/StateMachine/StateMachine.cs,component,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMachine.cs,rootDriver,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMachine.cs,isInTransition,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMachine.cs,currentTransition,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMachine.cs,exitRoutine,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMachine.cs,enterRoutine,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMachine.cs,queuedChange,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMachineRunner.cs,stateMachineList,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/StateMapping.cs,stateProviderCallback,private/protected/internal field should start with m_
Assets/Core/Common/SerializedScriptableObject/VgSerializedScriptableObject.cs,serializationData,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,getStateInt,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,isInvokeAllowed,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,routingTable,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,getStateInt,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,isInvokeAllowed,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,routingTable,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,getStateInt,private/protected/internal field should start with m_
Assets/Core/Common/StateMachine/Events/StateEvent.cs,isInvokeAllowed,private/protected/internal field should start with m_
