author,path,insertions,deletions,touches,churn
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_03 1.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_04 1.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_05 1.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_06 1.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_07 1.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_08 1.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_fall2hang_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_fall2hang_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_fall2hang_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_hang2slide.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_hang_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_hang_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_hang_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_hang_0004.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Hang/anim_pl_hang_0005.png.meta,117,0,1,117
