path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/Core/CoreModule/Console/VgIngameConsoleManager.cs,118.72,290,42,290,2,0,2,1,7
Assets/Core/Logger/LogSystem.cs,118.61,261,27,955,10,0,0,2,5
Assets/GameMain/Scripts/RunTime/DebugUI/DebugUIManager.cs,118.33,181,27,321,3,1,8,0,15
Assets/Rendering/RainRust/Volume/RainRustVolume.cs,116.27,76,1,152,4,0,18,1,29
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlComponent.Unity.cs,112.97,194,29,200,3,0,5,0,9
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,110.02,216,27,242,6,0,0,0,1
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerGrapplingHook/GrapplingRope.cs,108.97,140,13,140,1,2,14,0,4
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Vine/MatVineControl.cs,107.73,201,16,201,1,1,4,0,17
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/TempHookControl.cs,104.15,102,18,102,1,2,9,0,8
Assets/Rendering/RainRust/RenderPasses/RainRustRenderingPass.cs,104.09,223,27,329,7,0,5,0,1
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStateStartSet.cs,102.3,200,40,204,4,0,0,0,1
Assets/GameMain/Scripts/RunTime/UI/PauseMenuController.cs,101.0,276,35,288,4,1,0,0,3
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkLevelRoomProcessor.cs,99.17,227,16,387,13,0,3,0,8
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,98.99,113,8,113,1,0,0,0,0
Assets/Rendering/RainRust/RenderPasses/RainRustDrawObjectsPass.cs,92.04,403,6,515,5,0,10,0,3
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/WaveLife.cs,86.5,130,10,168,2,1,7,0,11
Assets/Core/Input/VgInputActions.cs,84.18,805,9,807,3,0,3,0,0
Assets/Core/GameCoreSystems/LoadingSplash/VgLoadingSplashManager.cs,84.08,148,18,394,3,0,4,2,0
Assets/Core/ParallaxBackground/ParallaxLayer.cs,80.81,57,1,67,4,0,15,0,6
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/ThornPlatform/MatThornPlatformControl.cs,79.58,112,10,118,2,1,2,0,10
Assets/Core/Events/SaveSystem/SaveSystemEvents.cs,78.58,99,1,99,1,0,17,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/MovePlatformer/MovePlatformer.cs,75.36,157,22,157,1,1,0,0,6
