from,to,from_path
Unity.RenderPipelines.Universal.2D.Editor.Overrides,a35efad8797223d499f8c68b1f545dbc,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,df380645f10b7bc4b97d4f5eb6303d95,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,69257879134bba646869b21467b3338d,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,3eae0364be2026648bf74846acb8a731,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,2a69708d171a17043a9d0ad45f205cfe,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,be0903cd8e1546f498710afdc59db5eb,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,b75d3cd3037d383a8d1e2f9a26d73d8a,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,329b4ccd385744985bf3f83cfd77dfe7,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,9604b18aafdbc9346bceb5e19ac9c746,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,f9fe0089ec81f4079af78eb2287a6163,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,116a4d4dbf5c04973bbf517077a062a1,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,e40ba710768534012815d3193fa296cb,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,516a5277b8c3b4f4c8cc86b77b1591ff,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,4fd6538c1c56b409fb53fdf0183170ec,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
Unity.RenderPipelines.Universal.2D.Editor.Overrides,41524c21c95e5fe4dbc5b48bd21995a4,Packages/com.unity.render-pipelines.universal/Editor/2D/Overrides/Unity.RenderPipelines.Universal.2D.Editor.Overrides.asmdef
PPv2URPConverters,c579267770062bf448e75eb160330b7f,Packages/com.unity.render-pipelines.universal/Editor/Converter/PPv2/PPv2ToURPConvertersDefinition.asmdef
PPv2URPConverters,a35efad8797223d499f8c68b1f545dbc,Packages/com.unity.render-pipelines.universal/Editor/Converter/PPv2/PPv2ToURPConvertersDefinition.asmdef
PPv2URPConverters,15fc0a57446b3144c949da3e2b9737a9,Packages/com.unity.render-pipelines.universal/Editor/Converter/PPv2/PPv2ToURPConvertersDefinition.asmdef
PPv2URPConverters,d60799ab2a985554ea1a39cd38695018,Packages/com.unity.render-pipelines.universal/Editor/Converter/PPv2/PPv2ToURPConvertersDefinition.asmdef
PPv2URPConverters,3eae0364be2026648bf74846acb8a731,Packages/com.unity.render-pipelines.universal/Editor/Converter/PPv2/PPv2ToURPConvertersDefinition.asmdef
PPv2URPConverters,df380645f10b7bc4b97d4f5eb6303d95,Packages/com.unity.render-pipelines.universal/Editor/Converter/PPv2/PPv2ToURPConvertersDefinition.asmdef
SampleAssembly,Unity.InputSystem,Packages/com.unity.render-pipelines.universal/Samples~/URPPackageSamples/SharedAssets/Scripts/SampleAssembly.asmdef
SampleAssembly,Unity.RenderPipelines.Core.Runtime,Packages/com.unity.render-pipelines.universal/Samples~/URPPackageSamples/SharedAssets/Scripts/SampleAssembly.asmdef
SampleAssembly,Unity.RenderPipelines.Universal.Editor,Packages/com.unity.render-pipelines.universal/Samples~/URPPackageSamples/SharedAssets/Scripts/SampleAssembly.asmdef
SampleAssembly,Unity.RenderPipelines.Universal.Runtime,Packages/com.unity.render-pipelines.universal/Samples~/URPPackageSamples/SharedAssets/Scripts/SampleAssembly.asmdef
Unity.RenderPipelines.Universal.Runtime.Tests,15fc0a57446b3144c949da3e2b9737a9,Packages/com.unity.render-pipelines.universal/Tests/Runtime/Unity.RenderPipelines.Universal.Runtime.Tests.asmdef
