path,line,text
Packages/com.unity.render-pipelines.universal/ShaderLibrary/UnityInput.hlsl,290,"float4x4 _ViewProjMatrix; // TODO: URP currently uses unity_MatrixVP, see Input.hlsl"
Packages/com.unity.render-pipelines.universal/ShaderLibrary/BRDF.hlsl,70,// TODO: would be clearer to multiply this once to accumulated diffuse lighting at end instead of the surface property.
Packages/com.unity.render-pipelines.universal/ShaderLibrary/BRDF.hlsl,141,// TODO: what about diffuse? at least in specular workflow diffuse should be recalculated as it directly depends on it.
Packages/com.unity.render-pipelines.universal/ShaderLibrary/ParticlesInstancing.hlsl,35,// inverse transform matrix (TODO: replace with a library implementation if/when available)
Packages/com.unity.render-pipelines.universal/ShaderLibrary/UnityGBuffer.deprecated.hlsl,124,// TODO: pass this info?
Packages/com.unity.render-pipelines.universal/ShaderLibrary/ShaderVariablesFunctions.hlsl,615,// TODO: implement
Packages/com.unity.render-pipelines.universal/ShaderLibrary/UniversalDOTSInstancing.hlsl,10,"// TODO: This might not work correctly in all cases, double check!"
Packages/com.unity.render-pipelines.universal/ShaderLibrary/RealtimeLights.hlsl,209,// TODO: Can we index a float4? Currently compiler is
Packages/com.unity.render-pipelines.universal/ShaderLibrary/RealtimeLights.hlsl,214,// NOTE: min16float4 bug workaround.
Packages/com.unity.render-pipelines.universal/ShaderLibrary/RealtimeLights.hlsl,277,// TODO: we need to expose in SRP api an ability for the pipeline cap the amount of lights
Packages/com.unity.render-pipelines.universal/ShaderLibrary/Core.hlsl,31,// TODO: workaround. There's a bug where SHADER_API_GL_CORE gets erroneously defined on switch.
